id,name,location,capacity_min,capacity_max,event_types,price_per_day,rating,parking,catering,description,contact_email,contact_phone
1,Al-Hamra Event Hall,Gulberg,100,500,Wedding;Mehndi;Walima,85000,4.8,Yes,Yes,Elegant hall with modern decor and spacious lawn perfect for grand weddings.,alhamra@shaadihall.com,0300-1111001
2,Royal Garden Hall,DHA Phase 1,150,600,Wedding;Walima;Corporate Function,95000,4.7,Yes,Yes,Luxurious venue with lush gardens and state of the art facilities.,royalgarden@shaadihall.com,0300-1111002
3,Pearl Continental Banquet,Cantt,200,800,Wedding;Mehndi;Walima;Corporate Function,100000,4.9,Yes,Yes,Premium banquet hall with top class catering and elegant interiors.,pearlbanquet@shaadihall.com,0300-1111003
4,Zaman Park Hall,Model Town,100,400,Wedding;Birthday;Mehndi,60000,4.3,Yes,No,Affordable and spacious hall in a prime location with ample parking.,zamanpark@shaadihall.com,0300-1111004
5,Johar Mahal,Johar Town,150,500,Wedding;Mehndi;Walima,75000,4.5,Yes,Yes,Beautiful hall with traditional decor ideal for Pakistani weddings.,joharmahal@shaadihall.com,0300-1111005
6,Bahria Grand Hall,Bahria Town,200,700,Wedding;Walima;Corporate Function,90000,4.6,Yes,Yes,Grand venue inside Bahria Town with modern amenities and great ambiance.,bahriagrand@shaadihall.com,0300-1111006
7,Valencia Banquet,Valencia,100,350,Wedding;Birthday;Mehndi,55000,4.2,Yes,No,Cozy and elegant banquet hall perfect for small to medium events.,valenciabanquet@shaadihall.com,0300-1111007
8,Askari Events Hall,Askari 10,150,500,Wedding;Mehndi;Walima,80000,4.6,Yes,Yes,Well maintained hall with military precision service and great facilities.,askariEvents@shaadihall.com,0300-1111008
9,Garden Town Marquee,Garden Town,100,400,Wedding;Birthday;Corporate Function,65000,4.4,Yes,Yes,Charming marquee style venue surrounded by beautiful gardens.,gardentown@shaadihall.com,0300-1111009
10,Faisal Town Hall,Faisal Town,100,300,Birthday;Mehndi;Wedding,50000,4.1,Yes,No,Budget friendly hall with clean interiors and good location.,faisaltown@shaadihall.com,0300-1111010
11,Shadman Palace,Shadman,150,550,Wedding;Walima;Mehndi,78000,4.5,Yes,Yes,Regal palace style venue with ornate decor and professional staff.,shadmanpalace@shaadihall.com,0300-1111011
12,Township Grand,Township,100,400,Wedding;Birthday;Corporate Function,60000,4.2,Yes,No,Spacious hall in Township ideal for mid-size gatherings and functions.,townshipgrand@shaadihall.com,0300-1111012
13,PAF Glamour Hall,PAF Colony,150,500,Wedding;Mehndi;Walima,72000,4.4,Yes,Yes,Glamorous hall near PAF Colony with excellent catering services.,pafglamour@shaadihall.com,0300-1111013
14,Wapda Town Festive Hall,Wapda Town,100,350,Birthday;Wedding;Mehndi,58000,4.1,Yes,No,Festive and colorful hall perfect for birthdays and small weddings.,wapdafestive@shaadihall.com,0300-1111014
15,Allama Iqbal Banquet,Allama Iqbal Town,150,500,Wedding;Walima;Corporate Function,70000,4.3,Yes,Yes,Classic banquet hall with modern facilities in the heart of Allama Iqbal Town.,allamaiqbal@shaadihall.com,0300-1111015
16,DHA Luxury Hall,DHA Phase 5,200,700,Wedding;Mehndi;Walima,98000,4.8,Yes,Yes,Ultra luxurious venue in DHA Phase 5 with breathtaking interiors.,dhaluxury@shaadihall.com,0300-1111016
17,Gulberg Fiesta,Gulberg,100,300,Birthday;Corporate Function;Mehndi,55000,4.2,Yes,No,Modern and vibrant hall perfect for corporate events and birthday parties.,gulbergfiesta@shaadihall.com,0300-1111017
18,Model Town Marquee,Model Town,150,600,Wedding;Walima;Mehndi,82000,4.6,Yes,Yes,Grand marquee in Model Town with lush outdoor space and elegant decor.,modeltownmarquee@shaadihall.com,0300-1111018
19,Johar Bliss Hall,Johar Town,100,400,Birthday;Wedding;Mehndi,62000,4.3,Yes,Yes,Blissful venue with warm ambiance and excellent customer service.,joharbliss@shaadihall.com,0300-1111019
